"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52100";"";"F";"0";"195";"0";"";"AREZZO";"40";"2";"RD3";"AR";"CASATI LAVORAZIONE FERRO";"0";"1";"N";""
"52100";"";"F";"0";"216";"0";"";"AREZZO";"40";"1";"RBB";"AR";"TRIS PARTY SERVICES SRL";"0";"1";"N";""
"52100";"";"F";"0";"223";"0";"";"AREZZO";"40";"1";"RD3";"AR";"INNOCENTI DINO SRL";"0";"1";"N";""
"52100";"";"F";"0";"255";"0";"";"AREZZO";"40";"1";"R3S";"AR";"TEMACO DIVISIONE COSTANTER SPA";"0";"1";"N";""
"52100";"";"F";"0";"264";"0";"";"AREZZO";"40";"1";"RD3";"AR";"FRATELLI PRATESI SNC";"0";"1";"N";""
"52100";"";"F";"0";"273";"0";"";"AREZZO";"40";"1";"R.D";"AR";"GIUSTINIANI SRL";"0";"1";"N";""
"52100";"";"F";"0";"276";"0";"";"AREZZO";"40";"1";"RD3";"AR";"BI-EFFE SERVIZI DI MENCHINI";"0";"1";"N";""
"52100";"";"F";"0";"294";"0";"";"AREZZO";"40";"9";"RD3";"AR";"ASSOCIAZIONE INDUSTRIALI DI";"0";"1";"N";""
"52100";"";"F";"0";"30";"0";"";"AREZZO";"40";"1";"RD3";"AR";"D.I.P.A. SNC DI";"0";"1";"N";""
"52100";"";"F";"0";"346";"0";"";"AREZZO";"40";"1";"R3D";"AR";"CENTRO SERRAMENTI 2000 SNC";"0";"1";"N";""
"52100";"";"F";"0";"358";"0";"";"AREZZO";"40";"1";"RD6";"AR";"NATURBOSCO SNC";"0";"1";"N";""
"52100";"";"F";"0";"36";"0";"";"AREZZO";"40";"1";"";"AR";"CADLA S.p.a.";"0";"1";"N";""
"52100";"";"F";"0";"372";"0";"";"AREZZO";"40";"1";"RD3";"AR";"FLEX LINE SRL";"0";"1";"N";""
"52100";"";"F";"0";"381";"0";"";"AREZZO";"40";"1";"R.D";"AR";"IBISCO SRL";"0";"1";"N";""
"52100";"";"F";"0";"39";"0";"";"AREZZO";"40";"1";"RB3";"AR";"TUTTOSERVIZI SRL";"0";"1";"N";""
"52100";"";"F";"0";"407";"0";"";"AREZZO";"40";"1";"R3S";"AR";"PROGETTO ALIMENTI SRL";"0";"1";"N";""
"52100";"";"F";"0";"418";"0";"";"AREZZO";"40";"1";"RD3";"AR";"AGOSTINI B.SRL";"0";"1";"N";""
"52100";"";"F";"0";"43";"0";"";"AREZZO";"40";"1";"R.D";"AR";"NUOVE ACQUE SPA";"0";"1";"N";""
"52100";"";"F";"0";"447";"0";"";"AREZZO";"40";"2";"R.D";"AR";"AERRE IMBALLAGGI DI PISINI";"0";"1";"N";""
"52100";"";"F";"0";"472";"0";"";"AREZZO";"40";"1";"RD3";"AR";"ROCCA TOSCANA FORMAGGI SRL";"0";"1";"N";""
"52100";"";"F";"0";"489";"0";"";"AREZZO";"40";"1";"RD3";"AR";"BORGHINI SRL";"0";"1";"N";""
"52100";"";"F";"0";"496";"0";"";"AREZZO";"40";"1";"R.D";"AR";"AZIENDA UNITA' SANITARIA";"0";"1";"N";""
"52100";"";"F";"0";"534";"0";"";"AREZZO";"40";"2";"R.D";"AR";"FRANCESCO CIRIANNI";"0";"1";"N";""
"52100";"";"F";"0";"571";"0";"";"AREZZO";"40";"2";"R.D";"AR";"SANDRO PANZIERI";"0";"1";"N";""
"52100";"";"F";"0";"594";"0";"";"AREZZO";"40";"1";"R.D";"AR";"CESIC SRL";"0";"1";"N";""
"52100";"";"F";"0";"602";"0";"";"AREZZO";"40";"2";"R.D";"AR";"DOTT.FRANCESCO NARDINI";"0";"1";"N";""
"52100";"";"F";"0";"607";"0";"";"AREZZO";"40";"1";"RD3";"AR";"LA TORRE SRL";"0";"1";"N";""
"52100";"";"F";"0";"67";"0";"";"AREZZO";"40";"1";"R.D";"AR";"USL 8 AZIENDA UNITA' SANITARIA";"0";"1";"N";""
"52100";"";"F";"0";"76";"0";"";"AREZZO";"40";"1";"RB4";"AR";"C.E.V.I. SRL";"0";"1";"N";""
"52100";"";"F";"0";"8";"0";"";"AREZZO";"40";"1";"R3D";"AR";"V.A.B. S.r.L";"0";"1";"N";""
"52100";"";"F";"0";"81";"0";"";"AREZZO";"40";"1";"R.D";"AR";"BUTALI SPA - EURONICS";"0";"1";"N";""
"52100";"";"F";"0";"89";"0";"";"AREZZO";"40";"1";"RB6";"AR";"LABOR CHIMICA SRL";"0";"1";"N";""
"52100";"";"F";"0";"90";"0";"";"AREZZO";"40";"1";"R3S";"AR";"PUNTOSICUREZZA SRL";"0";"1";"N";""
"52100";"";"F";"0";"91";"0";"";"AREZZO";"40";"1";"R60";"AR";"TRIS CARTA SAS DI GORI GIANNI";"0";"1";"N";""
"52100";"";"F";"0";"99";"0";"";"AREZZO";"40";"9";"R.D";"AR";"ASSOCIAZIONE INDUSTRIALI DELLA";"0";"1";"N";""
"52100";"DET";"C";"0";"130";"0";"79";"AREZZO";"14";"1";"RD3";"AR";"MACELLERIA E GASTRON.PESCAIOLA";"0";"0";"2";"16"
"52100";"DET";"C";"0";"134";"0";"80";"AREZZO";"14";"2";"RD3";"AR";"ROBERTO ZANGARI";"0";"0";"2";"16"
"52100";"ECO";"C";"0";"14";"0";"EC";"AREZZO";"13";"2";"P";"AR";"CLIENTE 31";"0";"0";"2";"16"
"53035";"";"C";"0";"49";"0";"27";"MONTERIGGIONI";"14";"1";"RD3";"SI";"TOSCANITA' SRL";"0";"0";"2";"16"
"53035";"";"F";"0";"134";"0";"";"MONTERIGGIONI";"40";"1";"RD3";"SI";"SAPORI DI TOSCANA SPA";"0";"1";"N";""
"53035";"";"F";"0";"463";"0";"";"MONTERIGGIONI";"40";"1";"RD3";"SI";"SALCIS SAS DI MORBIDI AeC.";"0";"1";"N";""
"53036";"";"F";"0";"618";"0";"";"POGGIBONSI";"40";"4";"RD3";"SI";"FABIO CENCETTI";"0";"1";"N";""
"53036";"DET";"C";"0";"104";"0";"66";"POGGIBONSI";"14";"1";"CON";"SI";"SOC.AGRICOLA SANT'ILARIO SRL";"0";"0";"2";"16"
"53037";"";"F";"0";"484";"0";"";"SAN GIMIGNANO";"40";"1";"RD3";"SI";"SALUMIFICIO VIANI SRL";"0";"1";"N";""
"53040";"";"F";"0";"135";"0";"";"RAPOLANO TERME";"40";"1";"CON";"SI";"BATIGNANI SRL";"0";"1";"N";""
"53040";"";"F";"0";"32";"0";"";"RADICOFANI";"40";"1";"R3S";"SI";"SOC.COOPERATIVA VAL D'ORCIA";"0";"1";"N";""
"53045";"ECO";"C";"0";"36";"0";"EC";"MONTEPULCIANO";"13";"2";"P";"SI";"CLIENTE 32";"0";"0";"1";"16"
"53048";"";"F";"0";"129";"0";"";"RIGOMAGNO-SINALUNGA";"40";"1";"RS6";"SI";"MOLINO PARRI SRL";"0";"1";"N";""
"53048";"";"F";"0";"457";"0";"";"BETTOLLE-SINALUNGA";"40";"1";"R6D";"SI";"MACINAZIONI VALDICHIANA SRLS";"0";"1";"N";""
"53100";"";"C";"0";"38";"0";"17";"SIENA";"14";"1";"RD3";"SI";"LE COLOMBAIE BIO SRL";"0";"0";"2";"16"
"53100";"";"F";"0";"400";"0";"";"SIENA";"40";"1";"R.D";"SI";"NUMERO UNICO S.R.L.S";"0";"1";"N";""
"53100";"";"F";"0";"49";"0";"";"SIENA";"40";"1";"R3D";"SI";"ESTRA ENERGIE SRL";"0";"1";"N";""
"53100";"";"F";"0";"559";"0";"";"SIENA";"40";"1";"R.D";"SI";"I GERANI SWNC";"0";"1";"N";""
"54038";"";"F";"0";"301";"0";"";"MONTIGNOSO";"40";"2";"R.D";"MS";"FARUSI MATTEO";"0";"1";"N";""
"54100";"";"F";"0";"137";"0";"";"MARINA DI MASSA";"40";"1";"R.D";"MS";"RIST.PIZZ.IPPOPOTAMUS";"0";"1";"N";""
"55010";"";"F";"0";"17";"0";"";"S.SALVATORE DI MONTECARLO";"40";"1";"RBB";"LU";"LA FUSTELLA s.r.l.";"0";"1";"N";""
"55010";"";"F";"0";"188";"0";"";"GRAGNANO-CAPANNORI";"40";"1";"R.D";"LU";"PCE ITALIA SRL";"0";"1";"N";""
"55012";"";"C";"0";"72";"0";"42";"MARLIA-CAPANNORI";"14";"1";"R.D";"LU";"EFFECORTA CAPANNORI SAS";"0";"0";"1";"16"
"55016";"";"F";"0";"4";"0";"";"PORCARI";"40";"1";"RB3";"LU";"LATTERIA DEL CARLO s.r.l.";"0";"1";"N";""
"55023";"ECO";"C";"0";"21";"0";"EC";"CHIFENTI";"13";"2";"P";"LU";"CLIENTE 33";"0";"0";"1";"16"
"55041";"";"F";"0";"278";"0";"";"LIDO DI CAMAIORE";"40";"1";"RD6";"LU";"FRIGO SERVICE ITALIA SRL";"0";"1";"N";""
"55045";"";"F";"0";"131";"0";"";"PIETRASANTA";"40";"1";"R.D";"LU";"GUSTOFAST SPA";"0";"1";"N";""
"55100";"";"F";"0";"338";"0";"";"LUCCA";"40";"2";"R.D";"LU";"BURALLI PAS.DI CARDULLO SERGIO";"0";"1";"N";""
"55100";"";"F";"0";"402";"0";"";"LUCCA";"40";"2";"R.D";"LU";"BAR GELATERIA BISCUIT 84 DI";"0";"1";"N";""
"56019";"";"F";"0";"222";"0";"";"VECCHIANO";"40";"1";"R6D";"PI";"CREMA LOMBARDI SRL";"0";"1";"N";""
"56019";"";"F";"0";"576";"0";"";"VECCHIANO";"40";"1";"R.D";"PI";"RIST.RUSTICHELLO SERENA SNC DI";"0";"1";"N";""
"56019";"DET";"C";"0";"77";"0";"";"VECCHIANO";"14";"1";"R.D";"PI";"CREMA LOMBARDI SNC DI";"0";"0";"1";""
"56020";"";"F";"0";"280";"0";"";"MONTOPOLI DI VAL D'ARNO";"40";"1";"RB3";"PI";"ACQUARIA SRL";"0";"1";"N";""
"56020";"";"F";"0";"304";"0";"";"MONTOPOLI DI VAL D'ARNO";"40";"1";"RS3";"PI";"ESSENTIAL SRL";"0";"1";"N";""
"56025";"DIS";"C";"0";"162";"0";"18";"PONTEDERA";"14";"1";"RD3";"PI";"CIBOSANO ITALIA SRL";"0";"0";"2";"16"
"56025";"ECO";"C";"0";"15";"0";"EC";"PONTEDERA";"13";"2";"P";"PI";"CLIENTE 34";"0";"0";"2";"16"
"56031";"";"F";"0";"561";"0";"";"BIENTINA";"40";"1";"RBB";"PI";"PAN DI VICO SRL";"0";"1";"N";""
"56035";"";"F";"0";"115";"0";"";"PERIGNANO";"40";"1";"RB6";"PI";"EURO IMBALLAGGI SAS";"0";"1";"N";""
"56040";"";"F";"0";"364";"0";"";"MONTESCUDAIO";"40";"1";"RD3";"PI";"SALUMIFICIO SANDRI SNC DI";"0";"1";"N";""
"56043";"";"F";"0";"461";"0";"";"FAUGLIA";"40";"1";"RD3";"PI";"BUSTI FORMAGGI SRL";"0";"1";"N";""
"56048";"";"F";"0";"307";"0";"";"SALINE DI VOLTERRA";"40";"1";"R.D";"PI";"LOCATELLI SALINE DI VOLTERRA";"0";"1";"N";""
"56121";"";"F";"0";"397";"0";"";"PISA";"40";"1";"R.D";"PI";"M.P.R. SRL";"0";"1";"N";""
"57124";"";"F";"0";"308";"0";"";"LIVORNO";"40";"1";"RB6";"LI";"SCATOLIFICIO SIMONTI SRL";"0";"1";"N";""
"58015";"";"F";"0";"334";"0";"";"ORBETELLO";"40";"2";"R.D";"GR";"ROBERTA MORETTI";"0";"1";"N";""
"58100";"";"C";"0";"93";"0";"";"GROSSETO";"14";"1";"R.D";"GR";"CONSORZIO TUTELA PECORINO";"0";"0";"1";"16"
"58100";"";"F";"0";"113";"0";"";"GROSSETO";"40";"1";"R.D";"GR";"PUCCI GENNY & C.SNC";"0";"1";"N";""
"58100";"";"F";"0";"120";"0";"";"GROSSETO";"40";"1";"R.D";"GR";"RIGEL S.A.S.";"0";"1";"N";""
"58100";"";"F";"0";"211";"0";"";"GROSSETO";"40";"2";"R.D";"GR";"PAOLA SVETONI";"0";"1";"N";""
"58100";"";"F";"0";"271";"0";"";"GROSSETO";"40";"2";"RD3";"GR";"PHOTOEDIZIONI DI CARLO BONAZZA";"0";"1";"N";""
"58100";"";"F";"0";"287";"0";"";"GROSSETO";"40";"2";"R.D";"GR";"FORMATO LIBERO DI";"0";"1";"N";""
"58100";"";"F";"0";"342";"0";"";"GROSSETO";"40";"1";"R.D";"GR";"CTP 2000 SRL";"0";"1";"N";""
"58100";"";"F";"0";"347";"0";"";"GROSSETO";"40";"1";"R.D";"GR";"BRICO & GARDEN SRL";"0";"1";"N";""
"58100";"";"F";"0";"435";"0";"";"GROSSETO";"40";"1";"RD6";"GR";"ICED SPA";"0";"1";"N";""
"58100";"";"F";"0";"65";"0";"";"GROSSETO";"40";"2";"RD3";"GR";"FORMATO LIBERO DI SVETONI";"0";"1";"N";""
"58100";"";"F";"0";"83";"0";"";"GROSSETO";"40";"1";"R.D";"GR";"CONSORZIO TUTELA PECORINO";"0";"1";"N";""
"59013";"";"F";"0";"548";"0";"";"MONTEMURLO";"40";"1";"RD3";"PO";"SARTECH S.R.L.S";"0";"1";"N";""
"59013";"";"F";"0";"577";"0";"";"MONTEMURLO";"40";"1";"RD3";"PO";"ZAGHE SRL";"0";"1";"N";""
"59100";"";"F";"0";"256";"0";"";"PRATO";"40";"1";"R.D";"PO";"GLOBALTHERM SRL";"0";"1";"N";""
"59100";"";"F";"0";"26";"0";"";"PRATO";"40";"1";"B15";"PO";"GTHERM S.r.l.";"0";"1";"N";""
"59100";"";"F";"0";"337";"0";"";"PRATO";"40";"2";"RD3";"PO";"DOTT.AGR.MARCO FILONI";"0";"1";"N";""
"59100";"";"F";"0";"582";"0";"";"PRATO";"40";"1";"RB3";"PO";"DLM SRL";"0";"1";"N";""
"59100";"";"F";"0";"586";"0";"";"PRATO";"40";"2";"R.D";"PO";"TOMMASO RANDELLI";"0";"1";"N";""
"5953";"DIS";"C";"0";"107";"8";"62";"DIETIKON-SVIZZERA";"14";"3";"R.D";"CH";"DIVINA FOOD AG";"0";"0";"2";"28"
"61032";"";"F";"0";"468";"0";"";"FANO";"40";"1";"RD3";"PU";"SACCHI TARTUFI SRL";"0";"1";"N";""
"61032";"";"F";"0";"615";"0";"";"FANO";"40";"1";"RD6";"PU";"SACCHI TARTUFI INTERNAZIONALE";"0";"1";"N";""
"61121";"";"F";"0";"258";"0";"";"PESARO";"40";"1";"RD3";"PS";"GIGLIO SRL";"0";"1";"N";""
"61121";"";"F";"0";"464";"0";"";"PESARO";"40";"1";"R.D";"PU";"REAL ESTATE MANAGEMENT SRL";"0";"1";"N";""
"6211";"DIS";"C";"0";"144";"41";"87";"ST MAASTRICHT-NETHERLANDS";"14";"4";"R.D";"NL";"PASSIONE E PURA";"0";"0";"2";"33"
"63076";"";"F";"0";"175";"0";"";"MONTEPRANDONE";"40";"1";"RD6";"AP";"S.L. FREDDO SRL";"0";"1";"N";""
"6341";"";"F";"0";"322";"0";"";"BAAR -SWITZERLAND";"40";"3";"R.D";"CH";"MIAG C.V. AMSTERDAM NL";"0";"1";"N";""
"63816";"";"F";"0";"300";"0";"";"FRANCAVILLA D'ETE";"40";"1";"RBB";"FM";"SIFA SPA";"0";"1";"N";""
"63848";"";"F";"0";"12";"0";"";"PETRITOLI";"40";"1";"R3D";"FM";"MONALDI AURELIO S.r.l.";"0";"1";"N";""
"64026";"";"F";"0";"94";"0";"";"ROSETO DEGLI ABRUZZI";"40";"1";"RD3";"TE";"QUARTIGLIA SPA";"0";"1";"N";""
"65125";"";"F";"0";"198";"0";"";"PESCARA";"40";"2";"R.D";"PE";"MARCHEGIANI LAURA";"0";"1";"N";""
"6830";"";"F";"0";"367";"0";"";"CHIASSO";"40";"3";"R.D";"CH";"CIPPA TRASPORTI SA -CH";"0";"1";"N";""
"70017";"";"F";"0";"285";"0";"";"PUTIGNANO";"40";"1";"RD3";"BA";"CASEIFICIO PALAZZO SPA";"0";"1";"N";""
"70018";"";"F";"0";"616";"0";"";"RUTIGLIANO";"40";"1";"RD3";"BA";"APULIA DISTRIBUZIONE SRL";"0";"1";"N";""
"70018";"GDOAP";"C";"0";"143";"0";"86";"RUTIGLIANO";"14";"1";"RD3";"BA";"APULIA DISTRIBUZIONE SRL";"0";"0";"2";"13"
"70023";"";"F";"0";"437";"0";"";"GIOIA DEL COLLE";"40";"1";"RD3";"BA";"LA BELLA GIOIA SRL";"0";"1";"N";""
"70033";"";"F";"0";"467";"0";"";"CORATO";"40";"1";"RD3";"BA";"MAIORA SRL";"0";"1";"N";""
"70033";"GDODE";"C";"0";"126";"0";"77";"CORATO";"14";"1";"RD3";"BA";"MAIORA SRL";"0";"0";"2";"3"
"71048";"";"F";"0";"288";"0";"";"STORNARELLA";"40";"1";"R.D";"FG";"FIORDELISI SRL";"0";"1";"N";""
"72027";"DSCEU";"C";"0";"114";"0";"69";"SAN PIETRO VERNOTICO";"14";"1";"RD3";"BR";"EUROSPIN PUGLIA SPA";"0";"0";"2";"13"
"74076";"";"C";"0";"165";"0";"";"HEILBRONN-DEUTSCHLAND";"14";"4";"R.D";"DE";"LIDL STIFTUNG & CO KG";"0";"0";"1";""
"75007";"";"C";"0";"16";"41";"39";"PARIS";"14";"4";"R3D";"FR";"LA GRANDE EPICERIE PARIS";"0";"0";"1";"E"
"76016";"DIS";"C";"0";"152";"0";"92";"MARGHERITA DI SAVOIA";"14";"2";"R.D";"BT";"CHIARAZZO FOOD GROUP DI";"0";"0";"2";"34"
"80014";"";"F";"0";"159";"0";"";"GIUGLIANO IN CAMPANIA";"40";"1";"R.D";"";"FONE SRL";"0";"1";"N";""
"80026";"";"C";"0";"35";"0";"11";"CASORIA";"14";"2";"CON";"";"INGR.AGROALIM.DI ZARRO SIMONE";"0";"0";"2";"4"
"80034";"";"F";"0";"555";"0";"";"MARIGLIANO";"40";"1";"R.D";"";"A.LU.MA IMMOBILIARE SRL";"0";"1";"N";""
"80045";"";"F";"0";"70";"0";"";"POMPEI";"40";"1";"R.D";"";"E.A.F.SRL";"0";"1";"N";""
"80053";"";"F";"0";"440";"0";"";"CASTELLAMARE DI STABIA";"40";"2";"R.D";"";"TRAVERSO DOTT.GIORGIO";"0";"1";"N";""
"80059";"";"F";"0";"529";"0";"";"TORRE DEL GRECO";"40";"1";"R.D";"";"AVILIA GROUP SRL";"0";"1";"N";""
"80067";"";"F";"0";"465";"0";"";"SORRENTO";"40";"2";"RD3";"";"AZIENDA AG.GALANO OSVALDO";"0";"1";"N";""
"80122";"";"F";"0";"147";"0";"";"NAPOLI";"40";"1";"R.D";"";"IL TULIPANO SRL";"0";"1";"N";""
"80138";"";"F";"0";"395";"0";"";"NAPOLI";"40";"1";"R.D";"";"MEGAEMME SRL";"0";"1";"N";""
"80143";"";"C";"0";"32";"0";"";"NAPOLI";"14";"1";"P";"";"CAFE' DE PARIS SAS";"0";"0";"1";"4"
"80143";"ECO";"C";"0";"42";"0";"";"NAPOLI";"14";"2";"R.D";"";"CLIENTE 51";"0";"0";"2";"4"
"80995";"DIS";"C";"0";"155";"41";"94";"MUNCHEN-GERMANY";"14";"4";"R.D";"DE";"DI CARLO GROUP di DI CARLO";"0";"0";"2";"24"
"81030";"";"C";"0";"50";"0";"23";"ORTA DI ATELLA";"14";"1";"RD3";"CE";"IPERMESS SRL";"0";"0";"2";"4"
"81050";"";"F";"0";"181";"0";"";"VITULAZIO";"40";"1";"R.D";"CE";"BM RETAIL SRL UNIPERSONALE";"0";"1";"N";""
"81100";"";"F";"0";"527";"0";"";"CASERTA";"40";"1";"RD3";"CE";"CIACK PROMOTION SRL";"0";"1";"N";""
"82011";"";"F";"0";"449";"0";"";"AIROLA";"40";"1";"RD3";"BN";"CONSORZIO EMME";"0";"1";"N";""
"83042";"";"F";"0";"69";"0";"";"ATRIPALDA";"40";"2";"R.D";"AV";"TRATTORIA VALLEVERDE DI";"0";"1";"N";""
"8330";"";"C";"0";"106";"0";"";"BEDER DANMARK";"14";"4";"";"DK";"SAPORITALIA APS";"0";"0";"1";""
"8330";"";"F";"0";"399";"0";"";"BEDER -DANMARK";"40";"4";"RD3";"DK";"SAPORITALIA APS";"0";"1";"N";""
"84012";"";"F";"0";"87";"0";"";"ANGRI";"40";"2";"R.D";"SA";"TESTA CARMINE";"0";"1";"N";""
"84018";"DIS";"C";"3";"56";"0";"24";"SCAFATI";"14";"2";"CON";"SA";"A.S.DISTRIBUZIONE DI";"0";"0";"2";"4"
"84034";"";"F";"0";"524";"0";"";"PADULA";"40";"1";"R.D";"SA";"SHOPNOW SRL";"0";"1";"N";""
"84091";"";"F";"0";"158";"0";"";"BATTIPAGLIA";"40";"1";"R.D";"SA";"DINER SAS DI ESPOSITO DOMENICO";"0";"1";"N";""
"84091";"";"F";"0";"177";"0";"";"BATTIPAGLIA";"40";"1";"R.D";"SA";"BOSCO&CO. DI GERARDO BOSCO SAS";"0";"1";"N";""
"84091";"";"F";"0";"215";"0";"";"BATTIPAGLIA";"40";"1";"R.D";"SA";"SABBIADORO GESTIONI SRL";"0";"1";"N";""
"84131";"DIS";"C";"0";"96";"0";"54";"SALERNO";"14";"1";"RD6";"SA";"IL CENTRO SRL";"0";"0";"2";"4"
"85024";"ECO";"C";"0";"23";"0";"EC";"LAVELLO";"13";"2";"P";"PZ";"CLIENTE 35";"0";"0";"2";"2"
"85100";"";"F";"0";"148";"0";"";"POTENZA";"40";"1";"R.D";"PZ";"GDA SPA";"0";"1";"N";""
"85100";"DOO";"C";"0";"19";"0";"58";"POTENZA";"14";"1";"RD3";"PZ";"GDA SPA";"0";"0";"1";"2"
"87036";"";"C";"1";"45";"0";"23";"RENDE";"14";"2";"CON";"CS";"CLIENTE 52";"0";"0";"2";"3"
"87100";"";"F";"0";"228";"0";"";"COSENZA";"40";"1";"R.D";"CS";"MEDITERRANEA SRL";"0";"1";"N";""
"87100";"";"F";"0";"230";"0";"";"COSENZA";"40";"1";"R.D";"CS";"GIA SRL";"0";"1";"N";""
"8952";"DIS";"C";"0";"25";"23";"21";"SCHLIEREN -SVIZZERA-CH";"14";"3";"R3D";"CH";"ALEARDI";"0";"0";"2";"28"
"90039";"ECO";"C";"0";"33";"0";"EC";"VILLABATE";"13";"2";"P";"PA";"CLIENTE 36";"0";"0";"2";"15"
"90127";"";"C";"0";"40";"0";"18";"PALERMO";"14";"1";"CON";"PA";"C&G DI CATALANO ANDREA SAS";"0";"0";"2";"15"
"90142";"";"C";"0";"41";"0";"18";"PALERMO";"14";"2";"CON";"PA";"INGROSSO FANARA GREGORIO";"0";"0";"2";"15"
"90144";"";"C";"0";"39";"0";"18";"PALERMO";"14";"2";"RD3";"PA";"CLIENTE 53";"0";"0";"2";"15"
"90146";"";"F";"0";"145";"0";"";"PALERMO";"40";"2";"RD3";"PA";"FRANCESCO GIALLONGO";"0";"1";"N";""
"91025";"";"F";"0";"306";"0";"";"MARSALA";"40";"1";"RD6";"TP";"POLIPACK SRL";"0";"1";"N";""
"94300";"";"F";"0";"302";"0";"";"VINCENNES FRANCE";"40";"4";"R.D";"FR";"WISH INTERNATIONAL SARL";"0";"1";"N";""
"94300";"DIS";"C";"0";"65";"41";"36";"VINCENNES-FRANCE";"14";"4";"RD4";"FR";"WISH INTERNATIONAL SARL";"0";"0";"B";"21"
"95121";"DSCEU";"C";"0";"115";"0";"69";"CATANIA";"14";"1";"RD3";"CT";"EUROSPIN SICILIA SPA";"0";"0";"2";"15"
"95240";"C&CHO";"C";"0";"90";"41";"";"CORMEILLES EN PARISIS";"14";"4";"R.D";"FR";"STORIA E SAPORI";"0";"0";"2";"21"
"9850";"";"C";"0";"85";"0";"";"HIRTSHALS DK";"14";"4";"R.D";"DK";"JELEX SEAFOOD A/S";"0";"0";"1";"29"
"L1470";"C&CHO";"C";"1";"142";"41";"85";"LUXEMBOURG";"14";"4";"P";"LU";"LA FOCACCERIA";"0";"0";"2";"31"
"WC2H";"";"C";"0";"101";"0";"";"9JQ GREATER LONDON";"14";"4";"";"UK";"AD SOFTWARE LTD";"0";"0";"1";""
"WC2H";"";"F";"0";"384";"0";"";"9JQ GREATER LONDON";"40";"4";"R.D";"UK";"AD SOFTWARE LTD";"0";"1";"N";""
